"RelativePath","Bytes","MB","Extension","SHA256","LastWrite"
"__pycache__\MAGNITUDE_ANALYSIS.cpython-313.pyc","4921","0.005",".pyc","4092e06dfa2d328cac2b673a108f096532cf15f6c55657cbdc81807611c6a5c8","2026-09-20 14:49:49"
"__pycache__\MAGNITUDE_PARSER_SCORER.cpython-313.pyc","2666","0.003",".pyc","63064b3b5a49a67e5ca4cade37d9c9d646123e070fa4c80d10455c013f491259","2026-09-20 14:49:49"
"CHECK_V4_LINE_ENDINGS.py","1135","0.001",".py","e6353bee2927c8f4d36a925268f090aeb218d9681c51c3c8891f1c7a320931ce","2026-09-20 11:23:48"
"CONCLUSION_LOGIC.py","2995","0.003",".py","9b94ebdc6b09f55ed412ed4004e502117551d0f3bf4d8655ae729bb970c052a2","2026-09-20 07:14:27"
"CORPUS_MANIFEST.json","148424","0.142",".json","868f961fce9ef219af1eb292d56d7afcf5bce4b6ea6ecade22f86f128a442324","2026-09-20 07:14:31"
"EXECUTION_001\EXECUTION_RECORD.json","669","0.001",".json","4cfd5091170e80149345c2b139cba2f6ee4beda9d71dbed489dd8899a784650b","2026-09-20 09:30:55"
"EXECUTION_002\EXECUTION_RECORD.json","669","0.001",".json","208d940cfab9db1f2fecf8d1e657b6236bcd8b5b3ab436378d423a06fe8f5665","2026-09-20 09:54:55"
"EXECUTION_003\CONCLUSION.txt","16","0",".txt","034a4f38c30dbd27310350618176a9dab29d27b6f372c641216a547b49613c8c","2026-09-20 10:30:56"
"EXECUTION_003\CONCLUSION_RECORD.json","556","0.001",".json","f7c361ad2febcdc141990c17e69b42ed5937461cc8ab46fe42b2fbe6e4f93753","2026-09-20 10:30:56"
"EXECUTION_003\EXECUTION_RECORD.json","669","0.001",".json","ad3aff53250131e64c208c65407d9514de250ea18a094f28f87107f78621c293","2026-09-20 10:14:52"
"EXECUTION_003\LOGS.jsonl","66180","0.063",".jsonl","b85443fdb9cd8919e45ea4f88ee85241eaa51c9eaee1a68548adfb5a4aa58d98","2026-09-20 10:30:55"
"EXECUTION_003\RAW.jsonl","424380","0.405",".jsonl","b76195856b4d237ca5b84364b3d43db3d380eca21b9d545ab98e0ccc9f6bce1f","2026-09-20 10:30:55"
"EXECUTION_003\RESULTS.json","46860","0.045",".json","1daf031d0adf7ad1ef2b6449538af02a893a0e73c773039d043587777e37dd9f","2026-09-20 10:30:56"
"EXECUTION_004\CONCLUSION.txt","16","0",".txt","034a4f38c30dbd27310350618176a9dab29d27b6f372c641216a547b49613c8c","2026-09-20 11:19:17"
"EXECUTION_004\CONCLUSION_RECORD.json","556","0.001",".json","2815a24ea849f2c9515ecdb2aa114fc3f082b938de0a893855ff0d561ccb29be","2026-09-20 11:19:17"
"EXECUTION_004\EXECUTION_RECORD.json","770","0.001",".json","b6b88f83d55b1723b16f9245cda1e32ab837cdd597457b2977a1498d83b83690","2026-09-20 11:03:36"
"EXECUTION_004\LOGS.jsonl","326340","0.311",".jsonl","bc54afb5192cdaa93f86ac4a96e0a48045e1b3708788bfb65836c702ba9ee2e3","2026-09-20 11:19:17"
"EXECUTION_004\RAW.jsonl","171060","0.163",".jsonl","351cd18eab3ee6fb0c8423b41cf5519693063771fa5e861bf2a54f1a516732f6","2026-09-20 11:19:17"
"EXECUTION_004\RESULTS.json","40152","0.038",".json","b5c491d9c86be30cbaa8d0eef6430e2f3fc1f95e2e0e17e9446805d38db1588b","2026-09-20 11:19:17"
"EXECUTION_005\CONCLUSION.txt","16","0",".txt","034a4f38c30dbd27310350618176a9dab29d27b6f372c641216a547b49613c8c","2026-09-20 11:52:19"
"EXECUTION_005\CONCLUSION_RECORD.json","556","0.001",".json","dd8cb34194c422a141035cd7effcd9752bca924ff7f1c2a5383b5b27716d4b45","2026-09-20 11:52:19"
"EXECUTION_005\EXECUTION_RECORD.json","871","0.001",".json","936623869da1e25d17e35e5316d09f1642cd3b9ba9e1e571984b5d1bcc701adf","2026-09-20 11:36:37"
"EXECUTION_005\LOGS.jsonl","328140","0.313",".jsonl","35a001c3973dc4072ad4c410435ffadd9278a2c083b32283e84dd4494087fd28","2026-09-20 11:52:19"
"EXECUTION_005\RAW.jsonl","184380","0.176",".jsonl","d9a1f20705ae1acfbfc4146fd8f71c6ea231cb691394f3cbd47bbdaeb7d75fdb","2026-09-20 11:52:19"
"EXECUTION_005\RESULTS.json","48929","0.047",".json","9ba379242b7e153c3700f83b39941c8972c8a84a3f5baf984252d2cce2491dff","2026-09-20 11:52:19"
"EXECUTION_005_ANALYSIS.md","8506","0.008",".md","4fc2fb95cc89e6cd4b5098ebb4920cf460c97f552657c548094792a375c5ce19","2026-09-20 13:10:02"
"FINAL_FREEZE_MANIFEST.json","2300","0.002",".json","7e9724e5f3201b4f1ad08ff298e3bb1d8ae3d090bbd2d867e5be6cc33454a1f5","2026-09-20 07:35:15"
"llama-b10964-bin-win-cpu-x64\ggml.dll","79872","0.076",".dll","9865b315ce521f45b79c50f1d5cfb56cf9f94f186aac3ed0fceebd67f46e48c7","2026-09-20 07:25:06"
"llama-b10964-bin-win-cpu-x64\ggml-base.dll","796160","0.759",".dll","645538131f61107314a1fb38ee43b392ce76a16d1a6811f065b693c9552d8e18","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-alderlake.dll","1230336","1.173",".dll","79bd5a3a21e574963312518c43c99ce76d10aa80651f658ac00003aae1f3fe01","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-cannonlake.dll","1448448","1.381",".dll","9959698ba5b224a2541d72f711ec856133e010ee95854b70fd034f2c56a4ee05","2026-09-20 07:25:05"
"llama-b10964-bin-win-cpu-x64\ggml-cpu-cascadelake.dll","1434112","1.368",".dll","edf3ffb10c59cbce92880c82f9580aae8dbf9c41d7e798a5cd8b4ca0acb10167","2026-09-20 07:25:05"
