"Name","Bytes","SHA256"
"ggml.dll","79872","9865b315ce521f45b79c50f1d5cfb56cf9f94f186aac3ed0fceebd67f46e48c7"
"ggml-base.dll","796160","645538131f61107314a1fb38ee43b392ce76a16d1a6811f065b693c9552d8e18"
"ggml-cpu-alderlake.dll","1230336","79bd5a3a21e574963312518c43c99ce76d10aa80651f658ac00003aae1f3fe01"
"ggml-cpu-cannonlake.dll","1448448","9959698ba5b224a2541d72f711ec856133e010ee95854b70fd034f2c56a4ee05"
"ggml-cpu-cascadelake.dll","1434112","edf3ffb10c59cbce92880c82f9580aae8dbf9c41d7e798a5cd8b4ca0acb10167"
"ggml-cpu-cooperlake.dll","1434624","b726f7689ec7b5f5b67aa37bacb8c36348450f535aaf86f68a6756b9f90c98a0"
"ggml-cpu-haswell.dll","1235968","97302fa13b3fd496828e6f4936ac01433532880cf8277de6bc8b0117add0b816"
"ggml-cpu-icelake.dll","1440768","d29a2b47db63d0acb29ca6314cc4a9e0579592d0bbde42926bcab525296bd464"
"ggml-cpu-ivybridge.dll","1127424","b742628d4a73f24dad4a4c516d8600b7d50d2e7c07cf6011592bb0f0bda45349"
"ggml-cpu-piledriver.dll","1131520","04540f47f6a6d1ccabbb9a92470a9d27ddff6c47cb015b38f9383ac83a93fc5f"
"ggml-cpu-sandybridge.dll","1107968","96d99740a206893d081e61a2e2c32ea2b999be0cc82410182e232d2d8041a392"
"ggml-cpu-sapphirerapids.dll","1711616","858ea2d8375a94d61d9a80e98ef8f8a88f1ef7c537e98eb69752129fab7cedd2"
"ggml-cpu-skylakex.dll","1441792","2b6ac583bbea84b6649ebfbf771907df208c9bfac33d024adb430a853018b396"
"ggml-cpu-sse42.dll","932352","5c23106448a1edfb2683fcc955df017e8e4bdb3330114afa948c1870f8d7a91f"
"ggml-cpu-x64.dll","924160","9241c4023de3b08eadcb56314bf51ac2bd338b12c4008fa4950c30068c11afb6"
"ggml-cpu-zen4.dll","1441280","b8f6bd5d70bc608cd2d752ae74bbf85925c2945267bb0eded15aab324ff9716a"
"ggml-rpc.dll","168448","39948a2e2e40454421ac819cda1b4da56a12df93e2c00c2ebdd24df2c448c857"
"ggml-rpc-server.exe","101376","ba1633b9cbca15198fddc161b17a1fcedad26a103bb8b7e074fd58c365a30614"
"libomp.dll","768000","a12116ba72d1d6820407cf30be23da04ce79d6bb8a71a5ee71759c5a1faa6f1c"
"LICENSE-LLVM-OpenMP","19741","fdad1758a9e1f9d5a81e18879b3406772115edc92c24bfa36b70c654f325e8e4"
"llama.dll","3154944","d5fed9f3fe95f03dce3714500903763356122faf1ae98a6179e6490f090c3798"
"llama.exe","103936","abf77f8c2b5a22e603ea0dee0b1d06690af24526881d374accdcc1dfc04af469"
"llama-batched-bench.exe","9216","27d2d28244b7cfc9746db897ce3e1cc1f51b14ac275267292d0a2fa2e304d04e"
"llama-batched-bench-impl.dll","61440","ae139d30f4aa2a6b47279e6b9d1848c69f8ac7572c1f3ef3b9a239900fcc8c01"
"llama-bench.exe","9216","d0636452b8e3a283ea01df5decff1da745f459032b5b7dd7e7531ee211af157e"
"llama-bench-impl.dll","397824","52b07f0fd3a6004b2de6485c1f7f8f5438bf3709eea14dfcd30fc4ec2f57f067"
"llama-cli.exe","9216","0b3cbc08a0a6c81dd83d347ca6e43504ff6105dd995626ea38a30722c44e7aac"
"llama-cli-impl.dll","3296768","4d35886296714799c6ca5aece1ef3e036da7982abacd1056fdf6424a31f13b61"
"llama-common.dll","7772672","a9590b558f417f54d17fc688961959b3f4a95038195732adc41faab1999b69e3"
"llama-completion.exe","9216","d7c0aac260b64f92e8e0d387218af0b3fb541ee49713d2fee89246655d33144a"
"llama-completion-impl.dll","133632","04526c3dfea986a6e058609fb7d2944612b4f9f7fd5a50235e3b60fd4fbe2d94"
"llama-fit-params.exe","9216","e7ab857ccec38f47e2ec0f5614d1a9e6fe277d66790493c4061dc785559ce395"
"llama-fit-params-impl.dll","41472","567911c481d9d6d9111b128de622bd9e1a201fe2fb6f060034b030794cc861a2"
"llama-gemma3-cli.exe","27136","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab"
"llama-gguf-split.exe","60416","950cd098e4d27615095d367d8e2684b1a98460ad4638f35b1d1a35d6bead4ffb"
"llama-imatrix.exe","255488","e0e9e595dd47e6ec99ebe03b4ab8ad65fb13971579d1e0fd2c562fa4e7adbe9a"
"llama-llava-cli.exe","27136","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab"
"llama-minicpmv-cli.exe","27136","03109a6ae767a40558a80250377a82e82969e98a608501851d5cb0cf6a1894ab"
"llama-mtmd-cli.exe","90112","534fa7f35332a866fbf98f28ae80cb9e4801714289efdd7cb447b485f1a9ad9e"
"llama-mtmd-debug.exe","55296","c7cbeabe53c3f5bedb3a22b83dc24f7939b8410e68b552eab19f612f1f3ec9fa"
"llama-perplexity.exe","9216","cc9b6422ac9bb7aaba390ecf19fc3d6d73e38072cfc87cae5e0ed6d7087f3c39"
"llama-perplexity-impl.dll","194048","52a6213fcb4f06494c8c0b72d52d863124877f4cf87301375a2fe0fa4b075fe2"
"llama-quantize.exe","9216","ff306a447997d2c1deed5b02d1347580ea41dc8c3803fa33b93686ef91700653"
